,sr_,degree_1,degree_1_specializations,campus,key_skills
9137,10138,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9138,10139,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9139,10140,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9140,10141,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9141,10142,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9142,10143,,Electronics  Telecommunication Engineering,"MIT,Pune","['EmbeddedC', ' MATLAB', ' C ']"
9143,10144,,Mechanical,MITCOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9144,10145,,Mechanical,MITCOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9145,10146,,Mechanical,MITCOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9146,10147,,Mechanical,MITCOE,"['SOLIDWORKS', ' AUTOCAD', ' CREO']"
9147,10148,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9148,10149,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9149,10150,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9150,10151,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9151,10152,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9152,10153,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9153,10154,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9154,10155,,Civil Engineering,MITCOE,"['MSCIT', ' Leadership', ' AUTOCAD']"
9155,10156,,Electronics  Telecommunication Engineering,MITAOE,"['C', 'JAVA']"
9156,10157,,Electronics  Telecommunication Engineering,MIT  WPU,"['C', 'PCB design']"
9157,10158,,Electronics  Telecommunication Engineering,MITCOE,"['EmbeddedC', ' MATLAB', ' C ']"
9158,10159,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9159,10160,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9160,10161,,Electronics  Telecommunication Engineering,MITAOE,"['EmbeddedC', ' MATLAB', ' C ']"
9161,10162,,Computer Science  Engineering,MITCOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
9162,10163,,Computer Science  Engineering,MITAOE,"['C', ' Java', ' CPP', ' HTML', ' CMStool', ' MYSQL']"
