,sr_,degree_1,degree_1_specializations,campus,key_skills,key_skills_str
9497,10498,B.E.,Electronics  Telecommunication Engineering,MITCOE,"['AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP']","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
9498,10499,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"['AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP']","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
9499,10500,B.E.,Electronics  Telecommunication Engineering,MITAOE,"['LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows']","LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
9500,10501,B.E.,Mechanical,MITAOE,['CATIA'],CATIA
9501,10502,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9502,10503,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9503,10504,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
9504,10505,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
9505,10506,B.E.,Mechanical,MITCOE,"['CAD,CAM']","CAD,CAM"
9506,10507,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
9507,10508,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
9508,10509,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
9509,10510,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
9510,10511,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
9511,10512,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
9512,10513,B.E.,Electronics  Telecommunication Engineering,MITCOE,"['AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP']","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
9513,10514,B.E.,Electronics  Telecommunication Engineering,MITCOE,"['EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL']","EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
9514,10515,B.E.,Electronics  Telecommunication Engineering,"MIT,Pune","['EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL']","EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
9515,10516,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"['EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL']","EAGLE, MiCrosoftoffiCe, ProgrammingLanguageCCPP, SimulationSoftwareProteusMultisem, Goodorganizingskills, MATLAB, MySQL"
9516,10517,B.E.,Electronics  Telecommunication Engineering,MITCOE,"['AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThiltisem, Goodorganizingskills, MATLAB, MySQL']","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThiltisem, Goodorganizingskills, MATLAB, MySQL"
9517,10518,B.E.,Mechanical,MITCOE,"['CAD,CAM']","CAD,CAM"
9518,10519,B.E.,Mechanical,MITAOE,"['ProE,CATIA']","ProE,CATIA"
9519,10520,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
9520,10521,B.E.,Mechanical,MITAOE,"['ProE,CATIA']","ProE,CATIA"
9521,10522,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9522,10523,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9523,10524,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9524,10525,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9525,10526,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9526,10527,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9527,10528,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9528,10529,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9529,10530,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9530,10531,B.E.,Mechanical,MITCOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9531,10532,B.E.,Mechanical,MITAOE,"['AutoCAD, PROE']","AutoCAD, PROE"
9532,10533,B.E.,Electronics  Telecommunication Engineering,"MIT,Pune","['AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP']","AmazonWebServiCes, C CPP, Arduino, MongoDB, Linux, Golang,Microcontrollers, Gobot, InternetofThings, MATLAB, SQL, PHP"
9533,10534,B.E.,Electronics  Telecommunication Engineering,MITAOE,"['LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows']","LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
9534,10535,M TeCh ,Electronics  Telecommunication Engineering,MIT  WPU,"['LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows']","LoRateChnology, C, MathematiCaltoolMATLAB, basiCsofEmbeddedCPython, VHDL, platformWindowsandUNIX, EDATOOLMentorGraphiCs, PspiCe, ARM7, Python, Windows"
9535,10536,B.E.,Mechanical,MITAOE,['CATIA'],CATIA
9536,10537,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9537,10538,B.E.,Mechanical,MITCOE,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO"
9538,10539,B.E.,Mechanical,MITAOE,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO"
9539,10540,B.E.,Mechanical,MITCOE,"['SOLIDWORKS, AUTOCAD, CREO']","SOLIDWORKS, AUTOCAD, CREO"
9540,10541,B.E.,Civil Engineering,MITCOE,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD"
9541,10542,B.E.,Civil Engineering,MITCOE,"['MSCIT, Leadership, AUTOCAD']","MSCIT, Leadership, AUTOCAD"
9542,10543,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9543,10544,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9544,10545,B.E.,Mechanical,MITCOE,['CATIA'],CATIA
9545,10546,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
9546,10547,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
9547,10548,B.E.,Mechanical,MITCOE,['AUTOCAD'],AUTOCAD
9548,10549,B.E.,Mechanical,MITAOE,"['CAD,CAM']","CAD,CAM"
9549,10550,B.E.,Mechanical,MITAOE,['AUTOCAD'],AUTOCAD
9550,10551,B.E.,Mechanical,MITAOE,"['ProE,CATIA']","ProE,CATIA"
9551,10552,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
9552,10553,B.E.,Mechanical,MITCOE,"['ProE,CATIA']","ProE,CATIA"
